h3_index,geometry
8828308769fffff,"POLYGON ((-122.4463024190072 37.79217801171267, -122.44182969605376 37.79572190988203, -122.44327876531263 37.80041212048837, -122.44920089569816 37.80155824677688, -122.4536734046784 37.7980142318056, -122.45222399729478 37.79332420735765, -122.4463024190072 37.79217801171267))"
88283082d9fffff,"POLYGON ((-122.4436555748967 37.74755905392198, -122.43918460469227 37.751103470104695, -122.44063295745423 37.75579559734247, -122.44655261834583 37.75694312205417, -122.45102337481843 37.75339858889996, -122.44957468417971 37.74870664801545, -122.4436555748967 37.74755905392198))"
8828308257fffff,"POLYGON ((-122.38604072054805 37.72313142781764, -122.38156716997229 37.72667464847833, -122.38301312221095 37.731369362460555, -122.38893296370979 37.73252066977998, -122.39340630191171 37.72897733180997, -122.39196001103699 37.724282803839806, -122.38604072054805 37.72313142781764))"
8828308217fffff,"POLYGON ((-122.38735168100284 37.74545210579771, -122.38287725292231 37.74899506765022, -122.38432356237524 37.753688825354175, -122.39024463871759 37.754839435300696, -122.39471885430447 37.751296356223854, -122.393272206091 37.746602784434785, -122.38735168100284 37.74545210579771))"
88283095edfffff,"POLYGON ((-122.45706587893915 37.73692482193845, -122.45259621201124 37.740469729746295, -122.45404489583083 37.74516192742889, -122.45996358422056 37.74630903080213, -122.46443303716792 37.74276400604362, -122.46298401575451 37.73807199487242, -122.45706587893915 37.73692482193845))"
88283095b5fffff,"POLYGON ((-122.4804993259132 37.77674669097086, -122.47602942621562 37.78029169148142, -122.47747950224945 37.78498160085131, -122.4833998155077 37.78612632321605, -122.48786950054948 37.78258120599892, -122.4864190870373 37.777891483133494, -122.4804993259132 37.77674669097086))"
88283082bbfffff,"POLYGON ((-122.4285371044262 37.78873732075713, -122.42406340880041 37.79228079669274, -122.42551179471978 37.796971637173684, -122.43143421469924 37.798118815695084, -122.435907696754 37.79457522286775, -122.43445897244875 37.78988456842068, -122.4285371044262 37.78873732075713))"
88283095c5fffff,"POLYGON ((-122.47783878910278 37.7321279500406, -122.47337063960003 37.73567346557029, -122.47481999842594 37.74036529013595, -122.48073784403425 37.7415114124821, -122.48520577912342 37.73796578007567, -122.48375608306627 37.73327414220971, -122.47783878910278 37.7321279500406))"
8828308219fffff,"POLYGON ((-122.39340630191171 37.72897733180997, -122.38893296370979 37.73252066977998, -122.39037926080604 37.737214941158136, -122.39629923470937 37.73836568853357, -122.40077236035269 37.73482223330702, -122.39932572469964 37.73012814797154, -122.39340630191171 37.72897733180997))"
882830825bfffff,"POLYGON ((-122.39945876853805 37.7125007804866, -122.39498651982231 37.71604449372919, -122.39643280444679 37.72073927812787, -122.40235167618863 37.72189016312337, -122.40682371228095 37.718346332591885, -122.40537708930319 37.71365173436372, -122.39945876853805 37.7125007804866))"
88283082cdfffff,"POLYGON ((-122.40813889567377 37.74066613210137, -122.40366598277384 37.744209704531634, -122.4051129695667 37.74890309031136, -122.41103320770603 37.75005271756699, -122.41550590767771 37.74650902798579, -122.41405858248666 37.741815828309846, -122.40813889567377 37.74066613210137))"
8828309553fffff,"POLYGON ((-122.46914443486801 37.703971967272736, -122.46467694585064 37.70751762185414, -122.46612560210794 37.71221084509558, -122.47204208461838 37.713358226998444, -122.47650935952757 37.70981245540181, -122.47506036608289 37.70511941892739, -122.46914443486801 37.703971967272736))"
88283095a5fffff,"POLYGON ((-122.45537014961292 37.76747301085173, -122.45089906210502 37.77101747326509, -122.45234811103035 37.77570845652046, -122.45826858533128 37.77685479102239, -122.4627394587698 37.77331021175941, -122.4612900720252 37.76861941485404, -122.45537014961292 37.76747301085173))"
88283082dbfffff,"POLYGON ((-122.45102337481843 37.75339858889996, -122.44655261834583 37.75694312205417, -122.44800131577514 37.76163480597738, -122.4539211075227 37.76278177037268, -122.45839165007875 37.759237120299936, -122.45694261485225 37.754545622760304, -122.45102337481843 37.75339858889996))"
882830876bfffff,"POLYGON ((-122.4536734046784 37.7980142318056, -122.44920089569816 37.80155824677688, -122.4506503099042 37.806248013413196, -122.45657257118403 37.80739357889952, -122.46104486600606 37.803849447179225, -122.45959511375494 37.799159866731564, -122.4536734046784 37.7980142318056))"
8828309539fffff,"POLYGON ((-122.44233298762562 37.72524344429653, -122.43786289329054 37.728788118044086, -122.43931088806146 37.7334812018286, -122.44522931496871 37.73462942542478, -122.44969919569253 37.731084634620586, -122.44825086316872 37.72639173728677, -122.44233298762562 37.72524344429653))"
8828308215fffff,"POLYGON ((-122.3799849851358 37.73960685251054, -122.37551034474653 37.743149697085975, -122.3769563091957 37.747843897592965, -122.38287725292231 37.74899506765022, -122.38735168100284 37.74545210579771, -122.38590537771385 37.740758091174996, -122.3799849851358 37.73960685251054))"
88283095c7fffff,"POLYGON ((-122.48520577912342 37.73796578007567, -122.48073784403425 37.7415114124821, -122.48218754721552 37.74620279374168, -122.48810552268584 37.74734835587488, -122.49257324317678 37.74380260664484, -122.49112320284402 37.73911141211509, -122.48520577912342 37.73796578007567))"
8828308291fffff,"POLYGON ((-122.44195558308805 37.77810590545451, -122.43748319156116 37.78164987504548, -122.4389319091904 37.78634078710608, -122.44485335649753 37.7874875433937, -122.4493255342041 37.783943456932086, -122.44787647847228 37.77925273106344, -122.44195558308805 37.77810590545451))"
